seq,lat_avg,lon_avg,period
0,38.5381072826134,-121.79489283868138,3.0
1,38.5381608192932,-121.79488946661897,3.0
2,38.5382152559358,-121.79488956350065,3.0
3,38.53826996720193,-121.79488794613606,3.0
4,38.53832724745371,-121.79488819695895,3.0
5,38.538382081872236,-121.7948882232021,3.0
6,38.53843728685493,-121.79488648473244,3.0
7,38.538490585695044,-121.79488651181573,3.0
8,38.538547393155596,-121.79488704091332,3.0
9,38.53860214981666,-121.79488560624534,3.0
10,38.5386544181234,-121.79488604232148,3.0
11,38.53871054785897,-121.79488539279143,3.0
12,38.538765484740956,-121.79488540548672,3.0
13,38.53882150309959,-121.79488479739987,3.0
14,38.538875748359175,-121.79488445314537,3.0
15,38.53893057873251,-121.79488425276446,3.0
16,38.53898505919155,-121.79488425887841,3.0
17,38.5390402151995,-121.79488389219969,3.0
18,38.53909460537796,-121.79488383504129,3.0
19,38.53915044882847,-121.79488330591899,3.0
20,38.53920440327136,-121.79488382462553,3.0
21,38.53925997029486,-121.79488293090053,3.0
22,38.5393132206875,-121.7948827800178,3.0
23,38.539369932762156,-121.79488203067466,3.0
24,38.539423207404305,-121.79488249506174,3.0
