seq,time,num_sat,rtk_mode_fix,fix_mode
0,1664906781.0547388,45,True,FIXED_RTK
0,1664906781.1497066,45,True,FIXED_RTK
0,1664906781.1939578,45,True,FIXED_RTK
0,1664906781.2344804,45,True,FIXED_RTK
0,1664906781.3179986,45,True,FIXED_RTK
0,1664906781.3961287,45,True,FIXED_RTK
0,1664906781.486,45,True,FIXED_RTK
0,1664906781.6122677,45,True,FIXED_RTK
0,1664906781.632567,45,True,FIXED_RTK
0,1664906781.6799052,45,True,FIXED_RTK
0,1664906781.7849233,45,True,FIXED_RTK
0,1664906781.8823652,45,True,FIXED_RTK
0,1664906781.9714322,45,True,FIXED_RTK
0,1664906782.0510347,45,True,FIXED_RTK
0,1664906782.1092765,45,True,FIXED_RTK
0,1664906782.1278248,45,True,FIXED_RTK
0,1664906782.2326558,45,True,FIXED_RTK
0,1664906782.2777848,45,True,FIXED_RTK
0,1664906782.3834434,45,True,FIXED_RTK
0,1664906782.4899504,45,True,FIXED_RTK
0,1664906782.6093462,45,True,FIXED_RTK
0,1664906782.6300974,45,True,FIXED_RTK
0,1664906782.6782978,45,True,FIXED_RTK
0,1664906782.7851834,45,True,FIXED_RTK
0,1664906782.884484,45,True,FIXED_RTK
0,1664906782.9752104,45,True,FIXED_RTK
0,1664906783.0664675,45,True,FIXED_RTK
0,1664906783.1582708,45,True,FIXED_RTK
0,1664906783.1767719,45,True,FIXED_RTK
0,1664906783.2465477,45,True,FIXED_RTK
0,1664906783.2916267,45,True,FIXED_RTK
0,1664906783.3821135,45,True,FIXED_RTK
0,1664906783.4807532,45,True,FIXED_RTK
0,1664906783.6176112,45,True,FIXED_RTK
0,1664906783.6355708,45,True,FIXED_RTK
0,1664906783.6747608,45,True,FIXED_RTK
0,1664906783.7805066,45,True,FIXED_RTK
0,1664906783.886407,45,True,FIXED_RTK
0,1664906783.9765406,45,True,FIXED_RTK
1,1664906796.2383046,44,True,FIXED_RTK
1,1664906796.2839396,44,True,FIXED_RTK
1,1664906796.383151,44,True,FIXED_RTK
1,1664906796.4869905,44,True,FIXED_RTK
1,1664906796.6061838,44,True,FIXED_RTK
1,1664906796.617351,44,True,FIXED_RTK
1,1664906796.6830385,44,True,FIXED_RTK
1,1664906796.7728596,44,True,FIXED_RTK
1,1664906796.8777745,44,True,FIXED_RTK
1,1664906796.9763093,44,True,FIXED_RTK
1,1664906797.0638735,44,True,FIXED_RTK
1,1664906797.1564593,44,True,FIXED_RTK
1,1664906797.2073946,44,True,FIXED_RTK
1,1664906797.2485044,44,True,FIXED_RTK
1,1664906797.2883818,44,True,FIXED_RTK
1,1664906797.3780231,44,True,FIXED_RTK
1,1664906797.487118,44,True,FIXED_RTK
1,1664906797.5659406,44,True,FIXED_RTK
1,1664906797.6193585,44,True,FIXED_RTK
1,1664906797.6755905,44,True,FIXED_RTK
1,1664906797.7822638,44,True,FIXED_RTK
1,1664906797.8842998,44,True,FIXED_RTK
1,1664906797.9760072,44,True,FIXED_RTK
1,1664906798.1013365,44,True,FIXED_RTK
1,1664906798.1077826,44,True,FIXED_RTK
1,1664906798.1276503,44,True,FIXED_RTK
1,1664906798.2411585,44,True,FIXED_RTK
1,1664906798.318711,44,True,FIXED_RTK
1,1664906798.376991,44,True,FIXED_RTK
1,1664906798.476876,44,True,FIXED_RTK
1,1664906798.601531,44,True,FIXED_RTK
1,1664906798.6193945,44,True,FIXED_RTK
1,1664906798.6772354,44,True,FIXED_RTK
1,1664906798.7934098,44,True,FIXED_RTK
1,1664906798.8797135,44,True,FIXED_RTK
1,1664906798.975557,44,True,FIXED_RTK
1,1664906799.09054,44,True,FIXED_RTK
1,1664906799.138361,44,True,FIXED_RTK
2,1664906812.0894203,43,True,FIXED_RTK
2,1664906812.0941918,43,True,FIXED_RTK
2,1664906812.0957885,43,True,FIXED_RTK
2,1664906812.229789,43,True,FIXED_RTK
2,1664906812.2807758,43,True,FIXED_RTK
2,1664906812.37996,43,True,FIXED_RTK
2,1664906812.4908154,43,True,FIXED_RTK
2,1664906812.602531,43,True,FIXED_RTK
2,1664906812.6072376,43,True,FIXED_RTK
2,1664906812.670717,43,True,FIXED_RTK
2,1664906812.7748237,43,True,FIXED_RTK
2,1664906812.8791728,43,True,FIXED_RTK
2,1664906812.9867957,43,True,FIXED_RTK
2,1664906813.0594137,43,True,FIXED_RTK
2,1664906813.1601818,43,True,FIXED_RTK
2,1664906813.1658266,43,True,FIXED_RTK
2,1664906813.2414215,43,True,FIXED_RTK
2,1664906813.2822778,43,True,FIXED_RTK
2,1664906813.382897,43,True,FIXED_RTK
2,1664906813.487705,43,True,FIXED_RTK
2,1664906813.6093547,43,True,FIXED_RTK
2,1664906813.6144867,43,True,FIXED_RTK
2,1664906813.6785576,43,True,FIXED_RTK
2,1664906813.7682264,43,True,FIXED_RTK
2,1664906813.8821108,43,True,FIXED_RTK
2,1664906813.987848,43,True,FIXED_RTK
2,1664906814.0893893,43,True,FIXED_RTK
2,1664906814.1031568,43,True,FIXED_RTK
2,1664906814.1075685,43,True,FIXED_RTK
2,1664906814.231937,43,True,FIXED_RTK
2,1664906814.2796695,43,True,FIXED_RTK
2,1664906814.3816345,43,True,FIXED_RTK
2,1664906814.4799852,43,True,FIXED_RTK
2,1664906814.607904,43,True,FIXED_RTK
2,1664906814.6097865,43,True,FIXED_RTK
2,1664906814.6829646,43,True,FIXED_RTK
2,1664906814.7743483,43,True,FIXED_RTK
2,1664906814.8791027,43,True,FIXED_RTK
2,1664906814.9870195,43,True,FIXED_RTK
3,1664906826.1068645,43,True,FIXED_RTK
3,1664906826.1213763,43,True,FIXED_RTK
3,1664906826.1270003,43,True,FIXED_RTK
3,1664906826.2344778,43,True,FIXED_RTK
3,1664906826.2799432,43,True,FIXED_RTK
3,1664906826.404409,43,True,FIXED_RTK
3,1664906826.4838583,43,True,FIXED_RTK
3,1664906826.6041133,43,True,FIXED_RTK
3,1664906826.6096392,43,True,FIXED_RTK
3,1664906826.6747556,43,True,FIXED_RTK
3,1664906826.778424,43,True,FIXED_RTK
3,1664906826.8823063,43,True,FIXED_RTK
3,1664906826.98206,43,True,FIXED_RTK
3,1664906827.0436127,43,True,FIXED_RTK
