pos_x_center,pos_y_center,pos_x_upper,pos_y_upper,pos_x_lower,pos_y_lower,pos_seg_num
-15.400000,7.000000,-14.836276,17.224471,-15.963724,-3.224471,1.000000
-15.349938,6.997163,-14.783480,17.221478,-15.916397,-3.227151,1.000000
-15.299877,6.994174,-14.730684,17.218319,-15.869070,-3.229972,1.000000
-15.249815,6.991031,-14.677889,17.214996,-15.821742,-3.232933,1.000000
-15.199754,6.987737,-14.625093,17.211508,-15.774415,-3.236034,1.000000
-15.149692,6.984290,-14.572297,17.207856,-15.727088,-3.239275,1.000000
-15.099631,6.980692,-14.519501,17.204040,-15.679761,-3.242656,1.000000
-15.049569,6.976943,-14.466706,17.200062,-15.632433,-3.246176,1.000000
-14.999508,6.973042,-14.413910,17.195920,-15.585106,-3.249835,1.000000
-14.949446,6.968992,-14.361114,17.191616,-15.537779,-3.253632,1.000000
-14.899385,6.964790,-14.308318,17.187149,-15.490452,-3.257568,1.000000
-14.849323,6.960439,-14.255522,17.182521,-15.443125,-3.261642,1.000000
-14.799262,6.955939,-14.202727,17.177731,-15.395797,-3.265853,1.000000
-14.749200,6.951289,-14.149931,17.172780,-15.348470,-3.270202,1.000000
-14.699139,6.946490,-14.097135,17.167668,-15.301143,-3.274688,1.000000
-14.649077,6.941542,-14.044339,17.162396,-15.253816,-3.279311,1.000000
-14.599016,6.936447,-13.991543,17.156964,-15.206489,-3.284070,1.000000
-14.548954,6.931203,-13.938748,17.151372,-15.159161,-3.288966,1.000000
-14.498893,6.925812,-13.885952,17.145621,-15.111834,-3.293997,1.000000
-14.448831,6.920274,-13.833156,17.139711,-15.064507,-3.299163,1.000000
-14.398770,6.914588,-13.780360,17.133642,-15.017180,-3.304465,1.000000
-14.348708,6.908756,-13.727565,17.127415,-14.969852,-3.309902,1.000000
-14.298647,6.902778,-13.674769,17.121031,-14.922525,-3.315474,1.000000
-14.248585,6.896654,-13.621973,17.114488,-14.875198,-3.321180,1.000000
-14.198524,6.890385,-13.569177,17.107789,-14.827871,-3.327019,1.000000
-14.148462,6.883970,-13.516381,17.100933,-14.780544,-3.332993,1.000000
-14.098401,6.877411,-13.463586,17.093921,-14.733216,-3.339100,1.000000
-14.048339,6.870706,-13.410790,17.086752,-14.685889,-3.345340,1.000000
-13.998278,6.863858,-13.357994,17.079428,-14.638562,-3.351712,1.000000
-13.948216,6.856866,-13.305198,17.071949,-14.591235,-3.358217,1.000000
